x,y,z
10.875112,2.974778,5.977921
9.860221,3.2128804,6.2913704
9.234901,2.927514,6.097882
10.59433,1.9088179,4.996853
11.479083,1.3392807,4.883576
10.199663,3.2751892,6.129283
12.250249,1.3833795,5.7515097
9.735829,3.556369,6.6220007
11.4986725,1.3316464,4.8735027
11.392122,1.4639525,4.8138804
10.034062,3.1575954,5.52166
10.541508,1.9594339,5.084985
12.220359,0.87713814,5.205713
10.004769,3.3624938,5.0683227
12.229178,0.80292934,5.083406
10.605002,3.3089995,5.8214917
10.691866,3.1643476,5.8207307
10.902183,2.1239972,4.825353
10.471566,2.949894,5.7993345
10.080209,3.370322,6.0980473
10.806154,2.2520027,4.7911134
10.859293,2.9586194,6.0873656
9.556016,3.1953576,6.3452654
10.626841,3.3131957,5.8405757
11.080333,2.8320312,6.062064
9.525912,3.904014,6.0874515
10.508585,3.1837778,5.9481115
9.466029,3.1511974,6.188851
11.226265,2.6513712,6.1275344
9.002028,3.4842236,5.1378126
11.720957,1.1650677,4.8552604
11.328723,1.6283506,4.883606
11.008297,2.8750348,6.20914
10.75499,3.266381,5.7251177
12.082217,1.8256388,6.0748124
9.982329,3.6637824,5.303128
11.799812,1.2032956,6.3406334
9.866995,3.490644,5.2030563
12.419446,0.7500022,5.5016155
9.095727,4.1955495,5.4418054
12.145672,1.709857,6.0315847
10.971498,2.9168243,6.1281033
9.513288,3.075606,5.068268
12.026046,0.93140393,4.980499
9.622536,3.2787094,6.3177776
12.000788,1.8494203,6.0962286
9.595137,3.2057085,4.9928617
12.411848,0.7518171,5.866369
9.602788,3.7100995,5.100214
11.373211,1.5964844,6.2712355
9.625917,3.2529693,6.160657
11.581452,1.4432619,6.1659365
9.101418,4.4180408,5.3407083
10.711441,1.9454539,4.991181
9.098144,4.202714,5.1780753
12.088935,0.923979,5.0553913
9.569546,3.5567935,5.6907086
11.811728,1.3356183,6.3590865
9.124067,4.255657,5.342646
11.624395,1.3729773,6.4428196
8.808353,3.821579,5.1069202
