Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normalised_gsr,time_audio,rms,centroid_hz,bandwidth_hz,flatness
0,27/5/2018,15:16:37,51.537693,-0.0299,4.7,0.0,565,0.999,0.0,315.74090576171875,23.251969714212308,271.0155354000297,0.0010862461058422923
1,27/5/2018,15:16:37,51.537693,-0.0299,4.7,67.6,563,0.9604010121887616,0.007317073170731708,427.9088707900629,17.758700075071815,217.28281876811423,0.000790789584841161
2,27/5/2018,15:16:38,51.537708,-0.029881,3.11,67.6,563,0.9604010121887616,0.014634146341463415,540.0768358184071,12.265430435931323,163.55010213619875,0.0004953330638400297
3,27/5/2018,15:16:39,51.537716,-0.029865,3.22,67.6,559,0.8812030365662848,0.021951219512195124,652.2448008467511,6.772160796790828,109.81738550428327,0.00019987654283889827
4,27/5/2018,15:16:40,51.537689,-0.029866,6.67,67.6,557,0.8416040487550465,0.02926829268292683,623.8325062321453,4.876861801122177,75.71829593787153,0.00010992700083704759
5,27/5/2018,15:16:41,51.537704,-0.029848,3.46,67.6,557,0.8416040487550465,0.03658536585365854,565.9312654195762,3.7362943943456597,45.73767203424924,6.308581745117605e-05
6,27/5/2018,15:16:47,51.537724,-0.029783,4.85,67.6,541,0.5248121462651393,0.04390243902439025,508.0300246070071,2.5957269875691424,15.757048130626956,1.624463406530455e-05
7,27/5/2018,15:16:48,51.537746,-0.029768,6.02,67.6,539,0.48521315845390095,0.051219512195121955,471.6854628295433,2.2769786003161276,5.312710156549016,6.151990645688885e-10
8,27/5/2018,15:16:49,51.537762,-0.029752,5.11,67.6,541,0.5248121462651393,0.05853658536585366,446.78524766317224,2.394530335902018,5.24010093099562,4.971446817265053e-10
9,27/5/2018,15:16:50,51.537815,-0.029732,8.37,67.6,550,0.7030075914157121,0.06585365853658537,421.8850324968012,2.512082071487908,5.167491705442224,3.7909029888412206e-10
10,27/5/2018,15:16:51,51.537849,-0.029705,7.95,67.6,551,0.7228070853213313,0.07317073170731708,403.6282381807885,2.502833658053704,5.035654641606941,2.911633990458014e-10
