Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normalised_gsr,time_audio,rms,centroid_hz,bandwidth_hz,flatness,2D_x,2D_y,3D_x,3D_y,3D_z
0,27/5/2018,15:16:37,51.537693,-0.0299,4.7,0.0,565,0.999,0.0,315.74090576171875,23.251969714212308,271.0155354000297,0.0010862461058422,-5.6894913,5.088564,10.135053,3.936234,-0.9399365
1,27/5/2018,15:16:37,51.537693,-0.0299,4.7,67.6,563,0.9604010121887616,0.0073170731707317,427.9088707900629,17.758700075071815,217.28281876811425,0.0007907895848411,-5.692254,5.0221186,10.121479,3.9429398,-0.9157596
2,27/5/2018,15:16:38,51.537708,-0.029881,3.11,67.6,563,0.9604010121887616,0.0146341463414634,540.0768358184071,12.265430435931323,163.55010213619877,0.00049533306384,-5.6464725,5.0057282,10.104404,3.949168,-0.870017
3,27/5/2018,15:16:39,51.537716,-0.029865,3.22,67.6,559,0.8812030365662848,0.0219512195121951,652.2448008467511,6.772160796790828,109.81738550428328,0.0001998765428388,-5.581624,4.9314256,10.091783,4.013667,-0.863624
4,27/5/2018,15:16:40,51.537689,-0.029866,6.67,67.6,557,0.8416040487550465,0.0292682926829268,623.8325062321453,4.876861801122177,75.71829593787153,0.000109927000837,-5.781389,8.455677,10.241559,2.5130534,-0.055085603
5,27/5/2018,15:16:41,51.537704,-0.029848,3.46,67.6,557,0.8416040487550465,0.0365853658536585,565.9312654195762,3.73629439434566,45.73767203424924,6.308581745117605e-05,-5.8122053,8.436582,10.1562805,3.5146022,-0.63881
6,27/5/2018,15:16:47,51.537724,-0.029783,4.85,67.6,541,0.5248121462651393,0.0439024390243902,508.0300246070071,2.5957269875691424,15.757048130626956,1.624463406530455e-05,-5.867622,9.047982,10.350038,1.9189404,0.3728615
7,27/5/2018,15:16:48,51.537746,-0.029768,6.02,67.6,539,0.4852131584539009,0.0512195121951219,471.6854628295433,2.276978600316128,5.312710156549016,6.151990645688884e-10,-5.868642,9.857863,10.535391,0.9837273,1.0397408
8,27/5/2018,15:16:49,51.537762,-0.029752,5.11,67.6,541,0.5248121462651393,0.0585365853658536,446.7852476631722,2.394530335902018,5.24010093099562,4.971446817265053e-10,-5.85755,10.028236,10.557334,0.8772367,1.1199068
9,27/5/2018,15:16:50,51.537815,-0.029732,8.37,67.6,550,0.7030075914157121,0.0658536585365853,421.8850324968012,2.512082071487908,5.167491705442224,3.7909029888412206e-10,-6.009628,10.358755,10.509724,0.66919744,1.2512956
10,27/5/2018,15:16:51,51.537849,-0.029705,7.95,67.6,551,0.7228070853213313,0.073170731707317,403.6282381807885,2.502833658053704,5.035654641606941,2.9116339904580136e-10,-6.0116143,10.4199295,10.518477,0.6331486,1.2832288
11,27/5/2018,15:16:52,51.537853,-0.029711,5.28,67.6,547,0.6436091096988544,0.0804878048780487,392.5737158074612,2.356118542420968,4.839607435513319,2.3589833569676216e-10,-5.5248427,11.481322,10.764545,-0.26613384,2.1460555
12,27/5/2018,15:16:53,51.537876,-0.029691,5.15,67.6,542,0.5446116401707585,0.0878048780487805,381.51919343413374,2.209403426788232,4.643560229419696,1.8063327234772287e-10,-5.6111746,12.498928,11.22346,-0.8476961,2.8631096
13,27/5/2018,15:16:53,51.537876,-0.029691,5.15,62.3,541,0.5248121462651393,0.0951219512195122,371.8092290119427,2.126319199267644,4.524905901212742,1.5201149856186044e-10,-5.5499673,12.677893,11.291631,-0.9333968,2.99683
14,27/5/2018,15:16:54,51.537922,-0.029676,9.28,62.3,541,0.5248121462651393,0.1024390243902439,365.1425955615392,2.1872598926442093,4.58142598037828,1.8369530569156528e-10,-5.437062,12.980415,11.3577795,-1.1076217,3.2760074
15,27/5/2018,15:16:55,51.537918,-0.029664,6.15,62.3,544,0.5842106279819969,0.1097560975609756,358.4759621111358,2.2482005860207748,4.637946059543817,2.1537911282127006e-10,-5.037908,12.675213,10.920726,-1.3554991,3.3388114
16,27/5/2018,15:16:55,51.537918,-0.029664,6.15,51.9,547,0.6436091096988544,0.1170731707317073,352.5875372537752,2.29214679892227,4.679883577544235,2.3971259094402437e-10,-4.760017,12.768728,10.754392,-1.4678253,3.606414
17,27/5/2018,15:16:56,51.53793,-0.02965,6.89,51.9,542,0.5446116401707585,0.124390243902439,351.77073317039304,2.225339210091343,4.626785881587872,2.1614364082261798e-10,-4.968914,13.568542,11.412358,-1.4573294,3.8498523
18,27/5/2018,15:16:57,51.537933,-0.029637,5.78,51.9,543,0.5644111340763777,0.1317073170731707,350.9539290870108,2.158531621260416,4.573688185631509,1.9257469070121155e-10,-4.9022346,13.350435,11.187071,-1.5308286,3.8105273
19,27/5/2018,15:16:57,51.537933,-0.029637,5.78,50.9,544,0.5842106279819969,0.1390243902439024,350.1371250036286,2.091724032429489,4.520590489675145,1.6900574057980508e-10,-4.839456,12.988902,10.913466,-1.5249956,3.653313
20,27/5/2018,15:16:58,51.537949,-0.029621,3.72,50.9,540,0.5050126523595201,0.1463414634146341,360.7791081172665,2.126937066169594,4.525437626118587,1.5782327019409268e-10,-5.273378,13.255168,11.433197,-1.2732434,3.5812013
21,27/5/2018,15:16:59,51.537979,-0.029593,5.85,50.9,542,0.5446116401707585,0.1536585365853658,371.90305345232895,2.166441137437498,4.532721950692268,1.4716178123393642e-10,-5.578745,12.605042,11.271712,-0.92887515,2.977116
22,27/5/2018,15:17:0,51.537968,-0.029594,0.94,50.9,546,0.6238096157932352,0.1609756097560975,383.0269987873915,2.205945208705402,4.540006275265947,1.3650029227378014e-10,-5.477201,11.811676,10.84776,-0.540023,2.4272456
23,27/5/2018,15:17:0,51.537968,-0.029594,0.94,62.2,546,0.6238096157932352,0.1682926829268292,393.630432691516,2.2401659488857115,4.579796249124147,1.4969600818482863e-10,-5.5863523,11.4080515,10.764312,-0.19074239,2.0685778
24,27/5/2018,15:17:1,51.537975,-0.029566,2.37,62.2,545,0.604010121887616,0.175609756097561,404.0923547395846,2.27295030564786,4.628423559665353,1.6937780132869452e-10,-5.7162547,11.15195,10.755085,0.019038033,1.8619545
25,27/5/2018,15:17:2,51.537983,-0.029553,2.7,62.2,549,0.6832080975100929,0.1829268292682927,414.5542767876533,2.3057346624100075,4.677050870206559,1.8905959447256043e-10,-5.9803677,10.400727,10.52707,0.61986226,1.2951857
26,27/5/2018,15:17:3,51.537994,-0.029533,2.54,62.2,546,0.6238096157932352,0.1902439024390244,418.6038716653498,2.283617144654156,4.697483231019538,2.1320818383286967e-10,-5.882014,10.512539,10.603594,0.4925631,1.4201516
27,27/5/2018,15:17:4,51.538025,-0.02951,2.28,62.2,547,0.6436091096988544,0.1975609756097561,418.6026599610724,2.2268169183041757,4.700104228671689,2.401785455440206e-10,-5.949903,10.411249,10.565278,0.5507205,1.3607899
28,27/5/2018,15:17:5,51.538036,-0.029504,1.22,62.2,541,0.5248121462651393,0.2048780487804878,418.601448256795,2.1700166919541948,4.7027252263238415,2.671489072551715e-10,-5.76016,10.946629,10.743905,0.16894022,1.7375805
29,27/5/2018,15:17:6,51.538036,-0.029501,0.28,62.2,544,0.5842106279819969,0.2121951219512195,423.0632249727482,2.164566342428005,4.720177072273319,2.771056473369796e-10,-5.8258824,10.580434,10.645309,0.45355836,1.4709084
30,27/5/2018,15:17:7,51.538048,-0.029494,1.76,62.2,549,0.6832080975100929,0.2195121951219512,433.2177299522772,2.224614906992841,4.756546285091214,2.6536080193492026e-10,-5.978675,10.194462,10.489776,0.81040543,1.1386937
