source_idx,target_idx,source_x,source_y,target_x,target_y,weight
0,1,-5.6894913,5.088564,-5.692254,5.0221186,1.0
0,2,-5.6894913,5.088564,-5.6464725,5.0057282,1.0
0,3,-5.6894913,5.088564,-5.581624,4.9314256,1.0
0,4,-5.6894913,5.088564,-5.781389,8.455677,1.0
0,5,-5.6894913,5.088564,-5.8122053,8.436582,1.0
0,3408,-5.6894913,5.088564,-5.8692417,5.0667825,1.0
0,3409,-5.6894913,5.088564,-6.0285196,5.4956646,1.0
0,3646,-5.6894913,5.088564,-6.0127683,5.470694,1.0
0,3970,-5.6894913,5.088564,-5.700111,4.961452,1.0
0,3972,-5.6894913,5.088564,-5.735558,4.987586,1.0
0,4096,-5.6894913,5.088564,-5.5772986,4.853012,1.0
0,4097,-5.6894913,5.088564,-5.6229258,4.9524403,1.0
0,4098,-5.6894913,5.088564,-5.622632,4.942078,1.0
0,4099,-5.6894913,5.088564,-5.5763516,4.879249,1.0
1,0,-5.692254,5.0221186,-5.6894913,5.088564,1.0
1,2,-5.692254,5.0221186,-5.6464725,5.0057282,1.0
1,3,-5.692254,5.0221186,-5.581624,4.9314256,1.0
1,4,-5.692254,5.0221186,-5.781389,8.455677,1.0
1,5,-5.692254,5.0221186,-5.8122053,8.436582,1.0
1,3408,-5.692254,5.0221186,-5.8692417,5.0667825,1.0
1,3417,-5.692254,5.0221186,-5.826149,4.967862,1.0
1,3646,-5.692254,5.0221186,-6.0127683,5.470694,1.0
1,3970,-5.692254,5.0221186,-5.700111,4.961452,1.0
1,3972,-5.692254,5.0221186,-5.735558,4.987586,1.0
1,4096,-5.692254,5.0221186,-5.5772986,4.853012,1.0
1,4097,-5.692254,5.0221186,-5.6229258,4.9524403,1.0
1,4098,-5.692254,5.0221186,-5.622632,4.942078,1.0
1,4099,-5.692254,5.0221186,-5.5763516,4.879249,1.0
2,0,-5.6464725,5.0057282,-5.6894913,5.088564,1.0
2,1,-5.6464725,5.0057282,-5.692254,5.0221186,1.0
2,3,-5.6464725,5.0057282,-5.581624,4.9314256,1.0
2,4,-5.6464725,5.0057282,-5.781389,8.455677,1.0
2,5,-5.6464725,5.0057282,-5.8122053,8.436582,1.0
2,6,-5.6464725,5.0057282,-5.867622,9.047982,1.0
2,3408,-5.6464725,5.0057282,-5.8692417,5.0667825,1.0
2,3608,-5.6464725,5.0057282,-5.621318,4.833495,1.0
2,3970,-5.6464725,5.0057282,-5.700111,4.961452,1.0
2,3972,-5.6464725,5.0057282,-5.735558,4.987586,1.0
2,4095,-5.6464725,5.0057282,-4.9372706,2.8273396,1.0
2,4096,-5.6464725,5.0057282,-5.5772986,4.853012,1.0
2,4097,-5.6464725,5.0057282,-5.6229258,4.9524403,1.0
2,4098,-5.6464725,5.0057282,-5.622632,4.942078,1.0
2,4099,-5.6464725,5.0057282,-5.5763516,4.879249,1.0
3,0,-5.581624,4.9314256,-5.6894913,5.088564,1.0
3,1,-5.581624,4.9314256,-5.692254,5.0221186,1.0
3,2,-5.581624,4.9314256,-5.6464725,5.0057282,1.0
3,4,-5.581624,4.9314256,-5.781389,8.455677,1.0
3,5,-5.581624,4.9314256,-5.8122053,8.436582,1.0
3,6,-5.581624,4.9314256,-5.867622,9.047982,1.0
3,3418,-5.581624,4.9314256,-5.5775695,4.7036614,1.0
3,3608,-5.581624,4.9314256,-5.621318,4.833495,1.0
3,3609,-5.581624,4.9314256,-5.5782924,4.6934547,1.0
3,3610,-5.581624,4.9314256,-5.51723,4.7013636,1.0
3,3970,-5.581624,4.9314256,-5.700111,4.961452,1.0
3,3972,-5.581624,4.9314256,-5.735558,4.987586,1.0
3,4095,-5.581624,4.9314256,-4.9372706,2.8273396,1.0
3,4096,-5.581624,4.9314256,-5.5772986,4.853012,1.0
3,4097,-5.581624,4.9314256,-5.6229258,4.9524403,1.0
3,4098,-5.581624,4.9314256,-5.622632,4.942078,1.0
3,4099,-5.581624,4.9314256,-5.5763516,4.879249,1.0
4,0,-5.781389,8.455677,-5.6894913,5.088564,1.0
4,1,-5.781389,8.455677,-5.692254,5.0221186,1.0
4,2,-5.781389,8.455677,-5.6464725,5.0057282,1.0
4,3,-5.781389,8.455677,-5.581624,4.9314256,1.0
4,5,-5.781389,8.455677,-5.8122053,8.436582,1.0
4,6,-5.781389,8.455677,-5.867622,9.047982,1.0
4,424,-5.781389,8.455677,-5.8224874,8.613964,1.0
4,425,-5.781389,8.455677,-5.793073,8.49482,1.0
4,426,-5.781389,8.455677,-5.8139644,8.54932,1.0
4,433,-5.781389,8.455677,-5.7433248,8.411887,1.0
4,434,-5.781389,8.455677,-5.77166,8.457444,1.0
4,435,-5.781389,8.455677,-5.793729,8.507485,1.0
4,441,-5.781389,8.455677,-5.748824,8.441113,1.0
4,442,-5.781389,8.455677,-5.7796674,8.417282,1.0
4,443,-5.781389,8.455677,-5.7615395,8.420249,1.0
4,444,-5.781389,8.455677,-5.752554,8.426807,1.0
4,445,-5.781389,8.455677,-5.741631,8.405232,1.0
5,0,-5.8122053,8.436582,-5.6894913,5.088564,1.0
5,1,-5.8122053,8.436582,-5.692254,5.0221186,1.0
5,2,-5.8122053,8.436582,-5.6464725,5.0057282,1.0
5,3,-5.8122053,8.436582,-5.581624,4.9314256,1.0
5,4,-5.8122053,8.436582,-5.781389,8.455677,1.0
5,6,-5.8122053,8.436582,-5.867622,9.047982,0.80353165
5,117,-5.8122053,8.436582,-5.9016137,9.084135,0.17642024
5,118,-5.8122053,8.436582,-5.896779,9.050081,0.17740436
5,119,-5.8122053,8.436582,-5.92326,9.148307,0.17125572
