source_idx,target_idx,source_x,source_y,source_z,target_x,target_y,target_z,weight
0,1,10.135053,3.936234,-0.9399365,10.121479,3.9429398,-0.9157596,1.0
0,2,10.135053,3.936234,-0.9399365,10.104404,3.949168,-0.870017,1.0
0,3,10.135053,3.936234,-0.9399365,10.091783,4.013667,-0.863624,1.0
0,4,10.135053,3.936234,-0.9399365,10.241559,2.5130534,-0.055085603,1.0
0,5,10.135053,3.936234,-0.9399365,10.1562805,3.5146022,-0.63881,1.0
0,3408,10.135053,3.936234,-0.9399365,10.2340145,3.9381607,-1.1356548,1.0
0,3409,10.135053,3.936234,-0.9399365,10.403855,3.5662043,-1.7301626,1.0
0,3646,10.135053,3.936234,-0.9399365,10.3686285,3.613091,-1.6117885,1.0
0,3970,10.135053,3.936234,-0.9399365,10.156051,4.000977,-0.9633855,1.0
0,3972,10.135053,3.936234,-0.9399365,10.196147,4.0224433,-1.0230379,1.0
0,4096,10.135053,3.936234,-0.9399365,10.065198,4.1147447,-0.8809977,1.0
0,4097,10.135053,3.936234,-0.9399365,10.088439,4.027964,-0.8815706,1.0
0,4098,10.135053,3.936234,-0.9399365,10.092584,4.0233355,-0.8857404,1.0
0,4099,10.135053,3.936234,-0.9399365,10.078144,4.060361,-0.8764579,1.0
1,0,10.121479,3.9429398,-0.9157596,10.135053,3.936234,-0.9399365,1.0
1,2,10.121479,3.9429398,-0.9157596,10.104404,3.949168,-0.870017,1.0
1,3,10.121479,3.9429398,-0.9157596,10.091783,4.013667,-0.863624,1.0
1,4,10.121479,3.9429398,-0.9157596,10.241559,2.5130534,-0.055085603,1.0
1,5,10.121479,3.9429398,-0.9157596,10.1562805,3.5146022,-0.63881,1.0
1,3408,10.121479,3.9429398,-0.9157596,10.2340145,3.9381607,-1.1356548,1.0
1,3417,10.121479,3.9429398,-0.9157596,10.214969,3.991448,-1.0782452,1.0
1,3646,10.121479,3.9429398,-0.9157596,10.3686285,3.613091,-1.6117885,1.0
1,3970,10.121479,3.9429398,-0.9157596,10.156051,4.000977,-0.9633855,1.0
1,3972,10.121479,3.9429398,-0.9157596,10.196147,4.0224433,-1.0230379,1.0
1,4096,10.121479,3.9429398,-0.9157596,10.065198,4.1147447,-0.8809977,1.0
1,4097,10.121479,3.9429398,-0.9157596,10.088439,4.027964,-0.8815706,1.0
1,4098,10.121479,3.9429398,-0.9157596,10.092584,4.0233355,-0.8857404,1.0
1,4099,10.121479,3.9429398,-0.9157596,10.078144,4.060361,-0.8764579,1.0
2,0,10.104404,3.949168,-0.870017,10.135053,3.936234,-0.9399365,1.0
2,1,10.104404,3.949168,-0.870017,10.121479,3.9429398,-0.9157596,1.0
2,3,10.104404,3.949168,-0.870017,10.091783,4.013667,-0.863624,1.0
2,4,10.104404,3.949168,-0.870017,10.241559,2.5130534,-0.055085603,1.0
2,5,10.104404,3.949168,-0.870017,10.1562805,3.5146022,-0.63881,1.0
2,6,10.104404,3.949168,-0.870017,10.350038,1.9189404,0.3728615,1.0
2,3408,10.104404,3.949168,-0.870017,10.2340145,3.9381607,-1.1356548,1.0
2,3608,10.104404,3.949168,-0.870017,10.090328,4.1527934,-0.9053093,1.0
2,3970,10.104404,3.949168,-0.870017,10.156051,4.000977,-0.9633855,1.0
2,3972,10.104404,3.949168,-0.870017,10.196147,4.0224433,-1.0230379,1.0
2,4095,10.104404,3.949168,-0.870017,9.092541,6.5638204,-0.32974482,1.0
2,4096,10.104404,3.949168,-0.870017,10.065198,4.1147447,-0.8809977,1.0
2,4097,10.104404,3.949168,-0.870017,10.088439,4.027964,-0.8815706,1.0
2,4098,10.104404,3.949168,-0.870017,10.092584,4.0233355,-0.8857404,1.0
2,4099,10.104404,3.949168,-0.870017,10.078144,4.060361,-0.8764579,1.0
3,0,10.091783,4.013667,-0.863624,10.135053,3.936234,-0.9399365,1.0
3,1,10.091783,4.013667,-0.863624,10.121479,3.9429398,-0.9157596,1.0
3,2,10.091783,4.013667,-0.863624,10.104404,3.949168,-0.870017,1.0
3,4,10.091783,4.013667,-0.863624,10.241559,2.5130534,-0.055085603,1.0
3,5,10.091783,4.013667,-0.863624,10.1562805,3.5146022,-0.63881,1.0
3,6,10.091783,4.013667,-0.863624,10.350038,1.9189404,0.3728615,1.0
3,3418,10.091783,4.013667,-0.863624,10.025376,4.317412,-0.86370707,1.0
3,3608,10.091783,4.013667,-0.863624,10.090328,4.1527934,-0.9053093,1.0
3,3609,10.091783,4.013667,-0.863624,10.021686,4.315221,-0.85511243,1.0
3,3610,10.091783,4.013667,-0.863624,10.038874,4.302895,-0.8720226,1.0
3,3970,10.091783,4.013667,-0.863624,10.156051,4.000977,-0.9633855,1.0
3,3972,10.091783,4.013667,-0.863624,10.196147,4.0224433,-1.0230379,1.0
3,4095,10.091783,4.013667,-0.863624,9.092541,6.5638204,-0.32974482,1.0
3,4096,10.091783,4.013667,-0.863624,10.065198,4.1147447,-0.8809977,1.0
3,4097,10.091783,4.013667,-0.863624,10.088439,4.027964,-0.8815706,1.0
3,4098,10.091783,4.013667,-0.863624,10.092584,4.0233355,-0.8857404,1.0
3,4099,10.091783,4.013667,-0.863624,10.078144,4.060361,-0.8764579,1.0
4,0,10.241559,2.5130534,-0.055085603,10.135053,3.936234,-0.9399365,1.0
4,1,10.241559,2.5130534,-0.055085603,10.121479,3.9429398,-0.9157596,1.0
4,2,10.241559,2.5130534,-0.055085603,10.104404,3.949168,-0.870017,1.0
4,3,10.241559,2.5130534,-0.055085603,10.091783,4.013667,-0.863624,1.0
