Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	27/5/2018	15:16:37	51.537693	-0.029900	4.70	0.00	565
1	27/5/2018	15:16:37	51.537693	-0.029900	4.70	67.60	563
2	27/5/2018	15:16:38	51.537708	-0.029881	3.11	67.60	563
3	27/5/2018	15:16:39	51.537716	-0.029865	3.22	67.60	559
4	27/5/2018	15:16:40	51.537689	-0.029866	6.67	67.60	557
5	27/5/2018	15:16:41	51.537704	-0.029848	3.46	67.60	557
6	27/5/2018	15:16:47	51.537724	-0.029783	4.85	67.60	541
7	27/5/2018	15:16:48	51.537746	-0.029768	6.02	67.60	539
8	27/5/2018	15:16:49	51.537762	-0.029752	5.11	67.60	541
9	27/5/2018	15:16:50	51.537815	-0.029732	8.37	67.60	550
10	27/5/2018	15:16:51	51.537849	-0.029705	7.95	67.60	551
11	27/5/2018	15:16:52	51.537853	-0.029711	5.28	67.60	547
12	27/5/2018	15:16:53	51.537876	-0.029691	5.15	67.60	542
13	27/5/2018	15:16:53	51.537876	-0.029691	5.15	62.30	541
14	27/5/2018	15:16:54	51.537922	-0.029676	9.28	62.30	541
15	27/5/2018	15:16:55	51.537918	-0.029664	6.15	62.30	544
16	27/5/2018	15:16:55	51.537918	-0.029664	6.15	51.90	547
17	27/5/2018	15:16:56	51.537930	-0.029650	6.89	51.90	542
18	27/5/2018	15:16:57	51.537933	-0.029637	5.78	51.90	543
19	27/5/2018	15:16:57	51.537933	-0.029637	5.78	50.90	544
20	27/5/2018	15:16:58	51.537949	-0.029621	3.72	50.90	540
21	27/5/2018	15:16:59	51.537979	-0.029593	5.85	50.90	542
22	27/5/2018	15:17:0	51.537968	-0.029594	0.94	50.90	546
23	27/5/2018	15:17:0	51.537968	-0.029594	0.94	62.20	546
24	27/5/2018	15:17:1	51.537975	-0.029566	2.37	62.20	545
25	27/5/2018	15:17:2	51.537983	-0.029553	2.70	62.20	549
26	27/5/2018	15:17:3	51.537994	-0.029533	2.54	62.20	546
27	27/5/2018	15:17:4	51.538025	-0.029510	2.28	62.20	547
28	27/5/2018	15:17:5	51.538036	-0.029504	1.22	62.20	541
29	27/5/2018	15:17:6	51.538036	-0.029501	0.28	62.20	544
30	27/5/2018	15:17:7	51.538048	-0.029494	1.76	62.20	549
31	27/5/2018	15:17:8	51.538063	-0.029481	2.56	62.20	549
32	27/5/2018	15:17:9	51.538052	-0.029482	0.83	62.20	544
33	27/5/2018	15:17:10	51.538059	-0.029475	4.72	62.20	550
34	27/5/2018	15:17:12	51.538006	-0.029468	0.81	62.20	548
35	27/5/2018	15:17:13	51.538021	-0.029450	1.24	62.20	547
36	27/5/2018	15:17:15	51.538017	-0.029449	1.63	62.20	545
37	27/5/2018	15:17:16	51.537971	-0.029442	1.26	62.20	548
38	27/5/2018	15:17:16	51.537971	-0.029442	1.26	59.80	549
39	27/5/2018	15:17:17	51.537968	-0.029432	1.24	59.80	547
40	27/5/2018	15:17:17	51.537968	-0.029432	1.24	60.80	547
41	27/5/2018	15:17:18	51.537975	-0.029417	2.28	60.80	544
42	27/5/2018	15:17:18	51.537975	-0.029417	2.28	63.60	545
43	27/5/2018	15:17:19	51.537975	-0.029400	5.15	63.60	542
44	27/5/2018	15:17:19	51.537975	-0.029400	5.15	65.80	544
45	27/5/2018	15:17:20	51.537979	-0.029381	2.89	65.80	542
46	27/5/2018	15:17:21	51.537987	-0.029371	2.07	65.80	542
47	27/5/2018	15:17:21	51.537987	-0.029371	2.07	60.50	545
48	27/5/2018	15:17:22	51.538002	-0.029352	4.04	60.50	542
49	27/5/2018	15:17:22	51.538002	-0.029352	4.04	62.90	544
50	27/5/2018	15:17:23	51.538006	-0.029342	2.59	62.90	546
51	27/5/2018	15:17:23	51.538006	-0.029342	2.59	62.70	547
52	27/5/2018	15:17:24	51.538013	-0.029328	3.22	62.70	549
53	27/5/2018	15:17:24	51.538013	-0.029328	3.22	62.60	548
54	27/5/2018	15:17:25	51.538002	-0.029328	1.78	62.60	546
55	27/5/2018	15:17:26	51.538010	-0.029313	1.44	62.60	544
56	27/5/2018	15:17:30	51.538025	-0.029269	2.20	62.60	546
