,p_id,lat,lon,o_id,p_date,accuracy,title,tags,url
12144,3532394992,51.505083,-0.078449,37490392@N07,2004-03-01 22:01:14,14,Famous Landmark,bridge london architecture towerbridge architektur buildingsatnight,https://live.staticflickr.com/3391/3532394992_98755766d3_m.jpg
87673,52805276323,51.505902,-0.083437,95012874@N00,2004-03-02 20:12:07,16,Hay's Galleria,minibreak minoltadynax5 2004 35mm film slr london epsonperfectionv600photo march fujifilmsuperia200 200iso minilabprocessed spring filmphotography scanned analog minolta2880f3556 greaterlondon england,https://live.staticflickr.com/65535/52805276323_7123828dca_m.jpg
87671,52805242405,51.505902,-0.083437,95012874@N00,2004-03-02 20:12:07,16,"Hay's Galleria, The Navigators",minibreak minoltadynax5 2004 35mm film slr march epsonperfectionv600photo filmphotography fujifilmsuperia200 200iso scanned spring london minilabprocessed analog minolta2880f3556 greaterlondon england,https://live.staticflickr.com/65535/52805242405_40329bea61_m.jpg
87670,52805240045,51.505902,-0.083437,95012874@N00,2004-03-02 20:12:07,16,"Hay's Galleria, The Navigators",minibreak minoltadynax5 2004 35mm film slr london epsonperfectionv600photo 200iso fujifilmsuperia200 filmphotography minilabprocessed spring march scanned analog minolta2880f3556 greaterlondon england,https://live.staticflickr.com/65535/52805240045_01f5a89285_m.jpg
87669,52805235780,51.505902,-0.083437,95012874@N00,2004-03-02 20:12:07,16,Hay's Galleria,spring minoltadynax5 2004 35mm epsonperfectionv600photo slr march film london fujifilmsuperia200 200iso minilabprocessed minibreak filmphotography scanned analog minolta2880f3556 greaterlondon england,https://live.staticflickr.com/65535/52805235780_efa26ebd02_m.jpg
87672,52805245090,51.505902,-0.083437,95012874@N00,2004-03-02 20:12:07,16,"Hay's Galleria, The Navigators",minibreak minoltadynax5 2004 35mm epsonperfectionv600photo slr london 200iso march fujifilmsuperia200 filmphotography minilabprocessed spring film scanned analog minolta2880f3556 greaterlondon england,https://live.staticflickr.com/65535/52805245090_435c5a52f2_m.jpg
87665,52804844331,51.505902,-0.083437,95012874@N00,2004-03-02 20:12:07,16,"Hay's Galleria, The Navigators",minibreak minoltadynax5 2004 35mm film slr march filmphotography epsonperfectionv600photo fujifilmsuperia200 200iso minilabprocessed spring london scanned analog minolta2880f3556 greaterlondon england,https://live.staticflickr.com/65535/52804844331_c889c683a8_m.jpg
3161,538159185,51.504956,-0.079135,19243288@N00,2004-03-10 13:45:50,16,London City Hall,england london tower thames river hall europe united kingdom norman foster borough sir bridgecity,https://live.staticflickr.com/1204/538159185_5d24712102_m.jpg
6742,2395984590,51.504441,-0.07802,24404258@N04,2004-03-13 15:33:08,14,London,england london,https://live.staticflickr.com/2409/2395984590_6d557ba894_m.jpg
6734,2395154053,51.504441,-0.07802,24404258@N04,2004-03-13 16:04:34,14,London - The Tower Bridge,london,https://live.staticflickr.com/3078/2395154053_742060093d_m.jpg
6743,2395988550,51.504441,-0.07802,24404258@N04,2004-03-13 16:07:16,14,London - The Tower Bridge,bridge london tower,https://live.staticflickr.com/2147/2395988550_81c862576f_m.jpg
6735,2395157883,51.505002,-0.079436,24404258@N04,2004-03-13 16:14:27,14,London,england london,https://live.staticflickr.com/3121/2395157883_5d8a136b6c_m.jpg
5741,2171675644,51.505403,-0.080509,40385587@N00,2004-03-16 13:16:12,13,HMS Belfast,bridge london thames towerbridge olympus belfast hmsbelfast c740 canarywharf,https://live.staticflickr.com/2014/2171675644_cb4ed8eebe_m.jpg
5792,2193519580,51.505911,-0.083405,40385587@N00,2004-03-16 13:17:17,15,Hays Galleria,london olympus c740 haysgalleria haygallery,https://live.staticflickr.com/2075/2193519580_c06abbc6e1_m.jpg
1,436102,51.505937,-0.082182,40385587@N00,2004-03-16 14:02:05,14,Angel. A Figurehead,london thames ship olympus c740 figurehead wysiwyg thechallengefactory,https://live.staticflickr.com/1/436102_7907e514fe_m.jpg
2,436113,51.505323,-0.08965,40385587@N00,2004-03-16 14:04:28,14,Sign at London Bridge Station,signs london olympus lee c740 wysiwyg,https://live.staticflickr.com/1/436113_d87fc68dbc_m.jpg
5141,1825665399,51.505403,-0.080509,40385587@N00,2004-03-16 14:20:33,13,London Calling,bridge london tower olympus c740,https://live.staticflickr.com/2217/1825665399_51495da251_m.jpg
5402,2069746704,51.505403,-0.080509,40385587@N00,2004-03-16 14:26:29,13,"Tower Bridge, Extra Seagull",london tower bridge abigfave olympus c740 a3b gittersteigen engineer gittersteiger steel,https://live.staticflickr.com/2173/2069746704_fde8f6fc48_m.jpg
17340,4628055206,51.50529,-0.079232,43953314@N07,2004-03-19 05:59:06,15,DSCN4229,,https://live.staticflickr.com/4035/4628055206_fe8f30c639_m.jpg
18874,4843868820,51.506151,-0.080595,12658277@N00,2004-03-20 05:04:54,16,Inside a Gun,london web shell hmsbelfast,https://live.staticflickr.com/4146/4843868820_3cdc91ea61_m.jpg
18875,4843869094,51.506151,-0.080595,12658277@N00,2004-03-20 05:53:18,16,Deck of the HMS Belfast,london web hmsbelfast,https://live.staticflickr.com/4154/4843869094_347ec894a7_m.jpg
18867,4843254761,51.506151,-0.080595,12658277@N00,2004-03-20 05:54:02,16,HMS Belfast Guns,london web hmsbelfast,https://live.staticflickr.com/4086/4843254761_e90ced1666_m.jpg
18868,4843255005,51.504789,-0.079393,12658277@N00,2004-03-20 06:06:26,16,London City Hall,london cityhall web,https://live.staticflickr.com/4150/4843255005_2a1d8f2c29_m.jpg
18869,4843255633,51.504682,-0.079607,12658277@N00,2004-03-20 06:19:12,16,London Skyline,london web,https://live.staticflickr.com/4087/4843255633_83cd03e887_m.jpg
18876,4843870602,51.504709,-0.079393,12658277@N00,2004-03-20 06:21:31,16,City Hall Spiral,london cityhall web,https://live.staticflickr.com/4104/4843870602_8fa7272283_m.jpg
18877,4843873920,51.506151,-0.080637,12658277@N00,2004-03-20 08:33:49,16,HMS Belfast,london web hmsbelfast,https://live.staticflickr.com/4125/4843873920_d1a1ddcaab_m.jpg
