,p_id,lat,lon,o_id,p_date,accuracy,Name,ID,NumberViews,NumberFavorites,title,tags,url
5,459444,51.505163,-0.078696,98406434@N00,2004-06-27 11:01:11,16,,459444,221,0,London - Office reflection,reflection london fountain towerbridge cityhall anyhoo photobyanyhoo,https://live.staticflickr.com/1/459444_6560853b9c_m.jpg
6,1265192,51.505045,-0.079495,78462059@N00,2004-10-27 14:55:31,16,Andy Aldridge,1265192,117,0,20041027_14553165,adam london geotagged geotoolyuancc geolat51505045 geolon0079495,https://live.staticflickr.com/1/1265192_f0bf20bf57_m.jpg
7,3824097,51.505002,-0.08274,35468140399@N01,2005-01-23 13:10:58,15,Richard,3824097,546,0,Much glass,windows reflection london architecture southbank favoritesof2005,https://live.staticflickr.com/3/3824097_3733c636cf_m.jpg
8,3824098,51.505002,-0.08274,35468140399@N01,2005-01-23 13:15:48,15,Richard,3824098,683,1,City Hall x 2,windows reflection london architecture towerbridge cityhall southbank favoritesof2005,https://live.staticflickr.com/3/3824098_5d8c31d9f6_m.jpg
9,3845978,51.505022,-0.079629,35468140399@N01,2005-01-23 13:17:57,15,Richard,3845978,619,3,City Hall,london architecture towerbridge cityhall southbank,https://live.staticflickr.com/1/3845978_46d752e382_m.jpg
10,3845991,51.505002,-0.08274,35468140399@N01,2005-01-23 13:15:10,15,Richard,3845991,455,0,Water,london architecture towerbridge waterfall cityhall southbank,https://live.staticflickr.com/3/3845991_8321381d01_m.jpg
11,3959828,51.505069,-0.078138,74733773@N00,2005-01-14 16:48:15,15,Vince Smith,3959828,819,0,Tower Bridge,london tower bridge night uk,https://live.staticflickr.com/4/3959828_a6658412cb_m.jpg
12,4531375,51.505109,-0.081024,93873404@N00,2005-02-06 21:29:39,12,Duncan Lang,4531375,315,3,Sillhouetes,sillhouete,https://live.staticflickr.com/3/4531375_bdb9d2dab8_m.jpg
13,5524880,51.505109,-0.081024,93873404@N00,2005-02-27 16:37:20,12,Duncan Lang,5524880,65,0,Glass,london england building,https://live.staticflickr.com/6/5524880_bb52c89e72_m.jpg
14,5524886,51.505109,-0.081024,93873404@N00,2005-02-27 16:37:24,12,Duncan Lang,5524886,1111,3,London skyline,london england skyline,https://live.staticflickr.com/3/5524886_c571e33d7e_m.jpg
15,6861523,51.506011,-0.082333,29332463@N00,2005-03-19 15:38:10,16,,6861523,110,0,HMS Belfast,2005 uk greatbritain england london march europe unitedkingdom hmsbelfast gb riverthames march2005,https://live.staticflickr.com/3/6861523_c0a230b976_m.jpg
16,6862073,51.504875,-0.079629,29332463@N00,2005-03-19 15:42:45,16,,6862073,237,1,London Assembly Building,2005 uk greatbritain england london march europe unitedkingdom cityhall curvy gb gla march2005 greaterlondonauthority,https://live.staticflickr.com/3/6862073_6a72c60197_m.jpg
17,7035963,51.506,-0.08203,71088526@N00,2005-03-20 12:43:40,16,Dave A,7035963,224,1,Fake tree,london tree fake,https://live.staticflickr.com/7/7035963_560f0331d3_m.jpg
18,7035964,51.505313,-0.080165,71088526@N00,2005-03-20 12:44:04,16,Dave A,7035964,246,2,City Hall,london city hall architecture geotagged geolat51505432 geolon0079964,https://live.staticflickr.com/8/7035964_0bc6786156_m.jpg
19,7035965,51.505243,-0.079747,71088526@N00,2005-03-20 12:45:38,16,Dave A,7035965,77,0,Reflection on a giant metal egg,reflection distorted,https://live.staticflickr.com/4/7035965_1194001438_m.jpg
20,7043812,51.505615,-0.080913,71088526@N00,2005-03-20 12:39:13,16,Dave A,7043812,250,0,Seagulls and buses,london bridge seagull bus geotagged geolat51505615 geolon0080913,https://live.staticflickr.com/5/7043812_dc6af1f4d8_m.jpg
21,7061634,51.504879,-0.081523,75062596@N00,2005-03-19 12:18:50,16,Lars Plougmann,7061634,155,0,DSC02134,london construction,https://live.staticflickr.com/4/7061634_cbce803852_m.jpg
22,7061765,51.505069,-0.081104,75062596@N00,2005-03-19 12:19:29,16,Lars Plougmann,7061765,164,0,DSC02137,london architecture towerbridge,https://live.staticflickr.com/7/7061765_1373fdbb81_m.jpg
23,7061862,51.505096,-0.079881,75062596@N00,2005-03-19 12:21:54,16,Lars Plougmann,7061862,148,0,DSC02138,london architecture towerbridge,https://live.staticflickr.com/8/7061862_90aa361c92_m.jpg
24,7558426,51.505272,-0.085174,36521957871@N01,2004-10-29 19:54:23,16,,7558426,2274,1,EvilFace@LondonDungeon,london face tongue geotagged evil dungeon tongueout londondungeon stickingouttongue se1 lickr sexyblogger tonguestickingout facesofevil bigtongue steeev geolat51505272 geolon0085174,https://live.staticflickr.com/5/7558426_140c7a2aac_m.jpg
25,7559085,51.505272,-0.085174,36521957871@N01,2004-10-29 20:01:56,16,,7559085,2672,1,OneEyedSkeleton@LondonDungeon,london halloween phonecam camphone geotagged skeleton death skull zombie gothic victorian dungeon tophat horror nightmare londondungeon se1 suitedandbooted gótica facesofevil oneeyedmonster deathwarmedup steeev geolat51505272 geolon0085174 facesofdeath,https://live.staticflickr.com/6/7559085_948bce5326_m.jpg
