Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	2/6/2018	14:41:57	51.547253	-0.023358	1.00	0.00	379
1	2/6/2018	14:41:58	51.547256	-0.023362	0.50	0.00	361
2	2/6/2018	14:41:58	51.547256	-0.023362	0.50	71.60	364
3	2/6/2018	14:41:59	51.547245	-0.023358	1.70	71.60	361
4	2/6/2018	14:41:59	51.547245	-0.023358	1.70	70.20	364
5	2/6/2018	14:42:0	51.547237	-0.023365	2.98	70.20	361
6	2/6/2018	14:42:0	51.547237	-0.023365	2.98	71.00	363
7	2/6/2018	14:42:1	51.547230	-0.023352	0.78	71.00	358
8	2/6/2018	14:42:1	51.547230	-0.023352	0.78	71.60	362
9	2/6/2018	14:42:2	51.547230	-0.023361	1.13	71.60	359
10	2/6/2018	14:42:2	51.547230	-0.023361	1.13	69.50	363
11	2/6/2018	14:42:3	51.547226	-0.023367	1.02	69.50	360
12	2/6/2018	14:42:4	51.547218	-0.023369	2.22	69.50	358
13	2/6/2018	14:42:4	51.547218	-0.023369	2.22	68.30	362
14	2/6/2018	14:42:5	51.547215	-0.023362	0.98	68.30	359
15	2/6/2018	14:42:5	51.547215	-0.023362	0.98	68.80	363
16	2/6/2018	14:42:6	51.547203	-0.023360	0.35	68.80	358
17	2/6/2018	14:42:6	51.547203	-0.023360	0.35	67.80	362
18	2/6/2018	14:42:7	51.547195	-0.023355	0.30	67.80	355
19	2/6/2018	14:42:8	51.547184	-0.023353	0.13	67.80	358
20	2/6/2018	14:42:8	51.547184	-0.023353	0.13	67.30	363
21	2/6/2018	14:42:9	51.547188	-0.023348	0.57	67.30	355
22	2/6/2018	14:42:10	51.547188	-0.023344	0.09	67.30	356
23	2/6/2018	14:42:11	51.547192	-0.023343	1.13	67.30	355
24	2/6/2018	14:42:12	51.547192	-0.023338	0.04	67.30	354
25	2/6/2018	14:42:13	51.547192	-0.023334	0.46	67.30	358
26	2/6/2018	14:42:13	51.547192	-0.023334	0.46	67.20	368
27	2/6/2018	14:42:14	51.547195	-0.023332	1.83	67.20	356
28	2/6/2018	14:42:15	51.547203	-0.023337	1.69	67.20	322
29	2/6/2018	14:42:16	51.547203	-0.023345	0.11	67.20	352
30	2/6/2018	14:42:16	51.547203	-0.023345	0.11	66.30	335
31	2/6/2018	14:42:17	51.547203	-0.023348	0.04	66.30	342
32	2/6/2018	14:42:18	51.547199	-0.023346	0.65	66.30	348
33	2/6/2018	14:42:19	51.547192	-0.023345	0.78	66.30	349
34	2/6/2018	14:42:20	51.547195	-0.023347	1.09	66.30	353
35	2/6/2018	14:42:20	51.547195	-0.023347	1.09	65.80	356
36	2/6/2018	14:42:21	51.547199	-0.023348	1.19	65.80	354
37	2/6/2018	14:42:21	51.547199	-0.023348	1.19	65.10	362
38	2/6/2018	14:42:22	51.547203	-0.023343	0.46	65.10	353
39	2/6/2018	14:42:23	51.547211	-0.023340	0.67	65.10	351
40	2/6/2018	14:42:24	51.547211	-0.023341	0.26	65.10	352
41	2/6/2018	14:42:24	51.547211	-0.023341	0.26	62.50	358
42	2/6/2018	14:42:25	51.547215	-0.023344	0.46	62.50	353
43	2/6/2018	14:42:25	51.547215	-0.023344	0.46	61.10	358
44	2/6/2018	14:42:26	51.547215	-0.023344	0.76	61.10	352
45	2/6/2018	14:42:27	51.547207	-0.023340	1.22	61.10	351
46	2/6/2018	14:42:28	51.547195	-0.023325	4.13	61.10	352
47	2/6/2018	14:42:29	51.547188	-0.023315	4.67	61.10	354
48	2/6/2018	14:42:29	51.547188	-0.023315	4.67	58.70	358
49	2/6/2018	14:42:30	51.547176	-0.023310	3.56	58.70	352
50	2/6/2018	14:42:31	51.547169	-0.023308	4.24	58.70	353
51	2/6/2018	14:42:32	51.547165	-0.023304	3.98	58.70	353
52	2/6/2018	14:42:32	51.547165	-0.023304	3.98	58.90	358
53	2/6/2018	14:42:33	51.547150	-0.023295	4.33	58.90	353
